id,severity,area,files,lines,finding,recommendation,must_resolve_before_performance
F01,High,Maintainability,app/Data/WorkOrderService.cs,71-727,"SaveChangesAsync owns authorization, duplicate detection, display-order allocation, persistence, transaction, telemetry and error mapping.",Extract internal collaborators incrementally while keeping the public facade and tests unchanged.,No
F02,High,Correctness/Concurrency,app/Data/WorkOrderService.cs; app/Data/ApplicationDbContext.cs,359-404; 154-159,DisplayOrder is allocated as MAX + step without a unique constraint or concurrency-safe allocator.,"Add a concurrent integration test, then use unique index + retry, sequence/table allocator, or locking.",Before optimization
F03,Medium,Performance,app/Data/WorkOrderService.cs,278-288,Duplicate conflict evaluation scans possibleConflicts for every incoming row (O(n*m)).,Build a dictionary keyed by normalized identity for O(1) lookup.,After baseline
F04,High,Operations,app/Program.cs; app/Data/ApplicationSeeder.cs,80-144; 9-250,Seeder runs on every startup and can race across instances or fail startup on invariant violations.,Move bootstrap to deployment or protect with transaction/application lock and idempotent operations.,No
F05,High,Business rule consistency,app/Data/ApplicationDbContext.cs; app/Data/WorkOrderFieldRegistry.cs; app/Data/WorkOrderSavePlanBuilder.cs,132-134; 57-64; 303-307,Status is required in EF but not required by save validation.,"Decide required vs optional and align DB, server validation, client validation and tests.",Yes
F06,High,Identity/Concurrency,app/Data/UserManagementService.cs,124-204,"Fixed account uniqueness is application-only; concurrent requests can create duplicates, and role rollback delete result is ignored.",Add database-enforceable assignment uniqueness or locking/serializable transaction; handle rollback failure.,No
F07,Medium-High,Architecture,app/Components/Pages/AdminPanel.razor; app/Components/Admin/*.razor,various,Admin UI performs EF queries/writes directly and broad catches omit logging.,"Extract BranchManagementService/query services, add logging and cancellation.",No
F08,Medium,Identity consistency,app/Components/Account/Pages/Manage/ChangePassword.razor,117-139,"Password change and MustChangePassword reset are separate operations, allowing partial success.",Design atomic/recoverable flow and add integration coverage.,No
F09,Medium,Lifecycle,app/Components/Pages/WorkOrders.razor.cs,41-444,Component does not cancel load/save/interop work when disposed despite service cancellation support.,Add component CancellationTokenSource and pass tokens.,No
F10,Medium,Frontend coupling,app/Components/Pages/WorkOrders.razor,75-112,Inline onclick strings call a global JS object directly.,Use Blazor @onclick wrappers or JS module references.,No
F11,Medium,Testability,app/Components/Pages/WorkOrders.razor.cs; WorkOrders.SaveResult.cs,multiple,Row mapping/normalization is duplicated across load and save result paths.,Extract a mapper and add contract tests.,No
F12,Medium,Testability/Time,multiple,multiple,"DateTime.Now.Year is hardcoded in query, service and component.",Inject TimeProvider.,No
F13,High,Frontend maintainability,app/wwwroot/js/tabulatorTest.js,46-550; 1646-2457,initialize and applySavedDelta are 505 and 812 lines.,Extract initializer and saved-delta reconciler without changing public API.,After baseline
F14,High,Frontend maintainability,app/wwwroot/js/tabulatorInteractions.js,120-850,"One 731-line function owns editing, keyboard, selection and clipboard.",Split bindings by concern while lifecycle retains exact handler references.,After baseline
F15,High,Frontend maintainability,app/wwwroot/js/tabulatorValidation.js; tabulatorFilters.js; tabulatorStructure.js,multiple,Several 300-516 line editor/popup/structure functions combine logic and UI.,Split incrementally and add fast JS unit tests.,After baseline
F16,High,Performance harness,app/Tools/Invoke-ERPPerformanceSoak.ps1; e2e/E2EBrowserSession.cs,"24-29; 7-9,71-77,274-281",Measured run forces Observe with 650ms SlowMo and always-on trace.,Create standalone Performance suite with no SlowMo/trace for quantitative runs.,Yes
F17,High,Performance harness,e2e/Phase9FoundationBrowserTest.cs,1156-1315,"Performance segment runs late inside the stress mega-journey, so cold is not a clean cold baseline.",Use fresh browser/page/grid and independent repeated runs.,Yes
F18,Medium,Performance architecture,app/Components/App.razor,24-39,"Tabulator and all 15 project scripts load on every page, including Login/Admin.",Load Work Orders scripts dynamically/on-demand; conditionally load diagnostics.,After baseline
F19,Medium,Performance scale,WorkOrderQueryService; WorkOrders.razor.cs; tabulatorTest.js; tabulatorDirtyState.js,multiple,"Whole sheet is held and copied across server, JS, Tabulator and dirty snapshots.","Benchmark actual worst-case sheet, 5k and 10k; optimize only with evidence.",Yes
F20,Medium,Performance hotspot,app/wwwroot/js/tabulatorFilters.js,320-401,Filter option generation scans/maps/sorts full active data.,Cache field value indexes and invalidate by row delta if measurements identify it as a hotspot.,After baseline
F21,Medium,Styling,app/wwwroot/app.css; Components/Pages/WorkOrders.razor.css,all,"CSS consolidation helped, but 125 !important and remaining duplicate selectors indicate residual specificity debt.",Define ownership/specificity policy; replace rules rather than append overrides.,No
F22,Low-Medium,Naming,WorkOrder.Busket and related files,multiple,Busket typo is pervasive across database and code.,Use a dedicated migration/refactor later; do not mix with performance work.,No
F23,Medium,Roles/UX,Data/AppRoles.cs; Components/Admin/BranchUsersList.razor,154-163,BranchManager and ProjectManager Arabic labels are easy to confuse.,Create central role metadata with canonical Arabic/English labels and scope.,No
F24,High,Test maintainability,e2e/Phase9FoundationBrowserTest.cs; e2e/WorkOrdersPage.cs,all,"A 1,599-line mega journey and 2,854-line page object make isolated diagnosis and change difficult.",Split into focused suites/helpers; migrate gradually to standard test framework.,After harness
F25,Medium,Coverage gaps,app/Data/UserManagementService.cs; ApplicationSeeder.cs; Admin UI,all,"No focused automated tests for account management, seeder, concurrent allocations and status invariant.",Add integration tests before expanding those modules.,No
F26,Low-Medium,Source hygiene,README/START_HERE/root manifests,all,Current documentation and root patch manifests conflict with actual phase/status.,Keep one current status source and archive/remove duplicates.,No
