file,lines,category,status,note,generated
app/Components/Account/IdentityComponentsEndpointRouteBuilderExtensions.cs,34,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/IdentityRedirectManager.cs,55,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/IdentityRevalidatingAuthenticationStateProvider.cs,48,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/AccessDenied.razor,8,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/InvalidUser.razor,8,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/Lockout.razor,11,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/Login.razor,243,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/Login.razor.css,312,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/Manage/ChangePassword.razor,174,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/Manage/_Imports.razor,2,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Pages/_Imports.razor,2,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Shared/ManageLayout.razor,17,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Shared/ManageNavMenu.razor,9,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Shared/RedirectToAccessDenied.razor,10,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Shared/RedirectToLogin.razor,8,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Account/Shared/StatusMessage.razor,29,Identity UI,Generally good / targeted fixes,Standard Identity patterns; change-password state update is not atomic and account flows need focused tests.,False
app/Components/Admin/BranchUserForm.razor,291,Admin UI,Medium-high refactor priority,Direct DbContext persistence and broad catches reduce observability/testability; move to application services.,False
app/Components/Admin/BranchUsersList.razor,196,Admin UI,Medium-high refactor priority,Direct DbContext persistence and broad catches reduce observability/testability; move to application services.,False
app/Components/App.razor,44,General,Reviewed,No major issue found in static review.,False
app/Components/Layout/MainLayout.razor,21,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Layout/MainLayout.razor.css,55,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Layout/NavMenu.razor,182,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
